date,station,pick1,pick2,pick3,pick4,pick5,pick6,pick7,pick8,pick9,pick10,pick1_nhay,pick2_nhay,pick3_nhay,pick4_nhay,pick5_nhay,pick6_nhay,pick7_nhay,pick8_nhay,pick9_nhay,pick10_nhay,distinct_hits,total_nhay,strict_3plus,db,g1,db_g1_covered
2025-08-11,Ha Noi,26,49,06,40,44,00,53,77,08,33,0,0,0,0,0,0,1,0,0,0,1,1,0,71,56,0
2025-08-12,Quang Ninh,26,53,06,49,44,51,66,00,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,75,81,0
2025-08-13,Bac Ninh,26,53,73,49,81,83,62,38,06,13,0,0,0,0,0,0,0,0,1,0,1,1,0,21,54,0
2025-08-14,Ha Noi,26,53,75,06,73,40,44,83,35,49,1,0,2,0,0,0,0,1,0,0,3,4,1,16,50,0
2025-08-15,Hai Phong,26,75,83,44,76,53,35,62,73,06,0,0,0,0,0,0,0,0,0,0,0,0,0,77,92,0
2025-08-16,Nam Dinh,26,75,83,81,62,76,35,06,16,44,0,0,1,0,0,0,0,0,0,0,1,1,0,94,77,0
2025-08-17,Thai Binh,83,26,78,73,75,77,53,81,80,01,0,0,1,0,0,1,0,1,2,0,4,5,1,91,23,0
2025-08-18,Ha Noi,78,81,80,83,77,76,75,26,49,73,0,0,0,1,1,0,0,0,0,0,2,2,0,45,25,0
2025-08-19,Quang Ninh,83,77,78,26,62,80,81,76,01,49,0,0,0,1,0,0,0,0,0,0,1,1,0,50,16,0
2025-08-20,Bac Ninh,77,26,83,85,78,44,76,51,16,49,0,0,0,0,1,0,0,0,0,0,1,1,0,34,64,0
2025-08-21,Ha Noi,77,78,83,81,26,53,82,73,19,16,0,0,3,0,0,0,0,1,1,0,3,5,1,27,50,0
2025-08-22,Hai Phong,78,73,77,83,85,81,01,19,26,44,1,0,0,0,0,1,0,0,0,0,2,2,0,34,81,1
2025-08-23,Nam Dinh,78,51,83,81,85,91,73,77,82,13,0,1,0,0,0,0,2,1,0,0,3,4,1,22,41,0
2025-08-24,Thai Binh,73,78,51,77,81,09,83,82,91,96,0,0,1,0,0,0,0,0,0,1,2,2,0,57,63,0
2025-08-25,Ha Noi,51,73,96,62,77,78,83,81,09,82,1,0,2,0,0,1,0,1,0,1,5,6,1,93,42,0
2025-08-26,Quang Ninh,51,96,78,81,91,73,62,82,67,49,0,1,0,1,0,0,1,0,0,1,4,4,1,44,58,0
2025-08-27,Bac Ninh,96,51,81,78,49,62,09,82,91,44,1,0,0,0,0,1,0,0,0,0,2,2,0,52,25,0
2025-08-28,Ha Noi,96,62,81,51,49,43,78,09,91,73,1,1,0,0,0,0,0,1,0,0,3,3,1,92,34,0
2025-08-29,Hai Phong,96,62,51,81,09,49,43,89,44,78,0,1,1,0,0,0,0,0,1,0,3,3,1,12,62,1
2025-08-30,Nam Dinh,96,62,51,44,49,77,09,12,81,82,0,1,0,0,1,0,0,0,0,0,2,2,0,30,49,1
2025-08-31,Thai Binh,62,96,49,51,44,03,27,57,81,82,0,0,0,2,0,0,0,0,1,0,2,3,0,39,83,0
2025-09-01,Ha Noi,62,96,66,42,27,09,61,81,43,57,0,1,0,0,0,0,0,0,0,0,1,1,0,35,45,0
2025-09-02,Quang Ninh,96,51,26,62,02,36,28,32,67,94,1,0,1,1,1,0,0,0,0,0,4,4,1,79,68,0
2025-09-03,Bac Ninh,96,62,02,26,05,51,25,29,69,57,0,0,0,0,0,2,0,0,0,0,1,2,0,33,21,0
2025-09-04,Ha Noi,96,51,62,02,08,79,63,26,45,05,0,1,0,0,0,0,0,0,2,0,2,3,0,43,92,0
2025-09-05,Hai Phong,51,08,45,96,02,69,80,70,88,62,0,0,3,0,0,0,0,1,0,0,2,4,0,78,58,0
2025-09-06,Nam Dinh,45,51,70,96,94,25,69,80,08,32,0,0,0,1,0,0,1,2,1,0,4,5,1,93,80,1
2025-09-07,Thai Binh,45,96,08,51,80,69,70,05,94,25,0,0,0,0,0,1,0,0,0,0,1,1,0,37,53,0
2025-09-08,Ha Noi,69,62,45,96,80,51,19,70,05,32,1,0,0,0,0,0,0,0,0,2,2,3,0,93,13,0
2025-09-09,Quang Ninh,69,62,32,37,80,45,68,96,63,54,1,1,0,0,0,0,1,0,1,1,5,5,1,60,69,1
2025-09-10,Bac Ninh,69,62,68,54,51,63,88,32,37,84,0,3,0,1,0,0,0,0,0,0,2,4,0,31,48,0
2025-09-11,Ha Noi,69,62,54,68,25,83,37,32,84,88,0,0,0,1,0,1,0,1,0,0,3,3,1,17,02,0
2025-09-12,Hai Phong,69,68,62,32,83,54,01,25,17,53,0,0,0,0,1,0,2,0,0,0,2,3,0,86,26,0
2025-09-13,Nam Dinh,83,69,01,62,68,23,32,54,84,51,0,0,1,0,0,0,0,0,0,1,2,2,0,01,89,1
2025-09-14,Thai Binh,01,83,51,69,68,14,53,32,62,54,0,0,0,1,1,1,1,0,0,0,4,4,1,07,14,1
2025-09-15,Ha Noi,14,68,01,69,83,53,25,51,23,82,0,0,1,0,0,0,0,0,0,1,2,2,0,46,84,0
2025-09-16,Quang Ninh,01,14,82,68,69,23,51,26,62,53,0,0,0,1,0,0,1,1,0,0,3,3,1,05,36,0
2025-09-17,Bac Ninh,01,68,33,51,26,82,14,25,53,70,1,0,0,1,0,0,1,0,0,0,3,3,1,05,56,0
2025-09-18,Ha Noi,01,51,68,14,26,05,33,89,00,23,0,0,0,0,0,1,0,1,1,1,4,4,1,50,69,0
2025-09-19,Hai Phong,01,23,51,05,82,00,70,14,68,89,0,1,0,0,0,0,0,0,0,0,1,1,0,46,43,0
2025-09-20,Nam Dinh,23,01,00,51,82,89,14,70,05,69,1,0,0,0,0,0,1,0,0,1,3,3,1,90,23,1
2025-09-21,Thai Binh,23,69,00,68,14,01,05,82,83,88,0,0,0,0,0,0,0,1,1,2,3,4,1,71,13,0
2025-09-22,Ha Noi,23,83,68,69,88,82,05,01,14,13,0,0,0,1,0,0,0,2,1,0,3,4,1,61,20,0
2025-09-23,Quang Ninh,23,30,69,14,01,89,70,83,05,68,0,0,0,1,0,0,0,0,0,1,2,2,0,88,43,0
2025-09-24,Bac Ninh,14,23,82,43,69,30,09,01,88,68,0,0,1,0,0,0,1,0,1,0,3,3,1,59,20,0
2025-09-25,Ha Noi,09,88,82,14,69,65,43,53,23,68,1,0,0,0,0,0,1,0,1,1,4,4,1,63,75,0
