scheme,fold,start,end,0_of_10,1_of_10,2_of_10,3_of_10,4_of_10,5_of_10,6_of_10,7_of_10,8_of_10,9_of_10,10_of_10,strict_3plus_days,strict_3plus_rate,strict_lift_pp_vs_random,any_hit_days,any_hit_rate,total_nhay,mean_total_nhay,db_g1_covered_days,db_g1_coverage_rate,db_g1_lift_pp_vs_random,n
marginal_top10,1,2019-06-28,2020-07-22,15,76,101,97,58,14,3,1,0,0,0,173,0.473972602739726,3.5015702722046793,350,0.958904109589041,1013,2.7753424657534245,73,0.2,1.0000000000000064,365
pair_005,1,2019-06-28,2020-07-22,14,71,106,103,56,11,2,2,0,0,0,174,0.4767123287671233,3.775542874944404,351,0.9616438356164384,1016,2.7835616438356166,73,0.2,1.0000000000000064,365
regime_reverse_005,1,2019-06-28,2020-07-22,14,77,101,102,54,12,3,2,0,0,0,173,0.473972602739726,3.5015702722046793,351,0.9616438356164384,1008,2.7616438356164386,71,0.19452054794520549,0.45205479452055386,365
pair_005_regime_reverse_005,1,2019-06-28,2020-07-22,13,73,107,101,58,9,2,2,0,0,0,172,0.4712328767123288,3.2275976694649544,352,0.9643835616438357,1010,2.767123287671233,74,0.20273972602739726,1.2739726027397313,365
marginal_top10,2,2020-07-23,2021-07-26,18,84,99,92,49,19,4,0,0,0,0,164,0.44931506849315067,1.035816847547144,347,0.9506849315068493,996,2.728767123287671,68,0.1863013698630137,-0.3698630136986236,365
pair_005,2,2020-07-23,2021-07-26,13,87,107,86,51,14,6,1,0,0,0,158,0.4328767123287671,-0.6080187688912109,352,0.9643835616438357,1009,2.7643835616438355,69,0.18904109589041096,-0.09589041095889872,365
regime_reverse_005,2,2020-07-23,2021-07-26,17,84,101,96,48,13,5,1,0,0,0,163,0.4465753424657534,0.7618442448074192,348,0.9534246575342465,988,2.706849315068493,67,0.18356164383561643,-0.6438356164383513,365
pair_005_regime_reverse_005,2,2020-07-23,2021-07-26,14,92,101,86,51,15,5,1,0,0,0,158,0.4328767123287671,-0.6080187688912109,351,0.9616438356164384,998,2.734246575342466,70,0.1917808219178082,0.17808219178082618,365
marginal_top10,3,2021-07-27,2022-07-30,18,54,115,101,48,24,4,1,0,0,0,178,0.4876712328767123,4.87143328590331,347,0.9506849315068493,1058,2.8986301369863012,82,0.22465753424657534,3.4657534246575388,365
pair_005,3,2021-07-27,2022-07-30,26,54,105,108,51,15,4,2,0,0,0,180,0.4931506849315068,5.419378491382759,339,0.9287671232876712,1023,2.802739726027397,78,0.2136986301369863,2.3698630136986365,365
regime_reverse_005,3,2021-07-27,2022-07-30,20,55,107,107,50,20,5,1,0,0,0,183,0.5013698630136987,6.241296299601945,345,0.9452054794520548,1051,2.8794520547945206,81,0.2219178082191781,3.191780821917814,365
pair_005_regime_reverse_005,3,2021-07-27,2022-07-30,23,51,113,107,49,15,6,1,0,0,0,178,0.4876712328767123,4.87143328590331,342,0.936986301369863,1037,2.841095890410959,83,0.2273972602739726,3.739726027397267,365
marginal_top10,4,2022-07-31,2023-08-03,22,80,108,92,47,15,1,0,0,0,0,155,0.4246575342465753,-1.4299365771103911,343,0.9397260273972603,968,2.652054794520548,79,0.21643835616438356,2.6438356164383614,365
pair_005,4,2022-07-31,2023-08-03,26,74,113,83,53,15,1,0,0,0,0,152,0.41643835616438357,-2.251854385329566,339,0.9287671232876712,960,2.6301369863013697,75,0.2054794520547945,1.5479452054794562,365
regime_reverse_005,4,2022-07-31,2023-08-03,23,83,103,93,52,10,1,0,0,0,0,156,0.4273972602739726,-1.1559639743706607,342,0.936986301369863,953,2.610958904109589,79,0.21643835616438356,2.6438356164383614,365
pair_005_regime_reverse_005,4,2022-07-31,2023-08-03,24,77,105,88,57,13,1,0,0,0,0,159,0.43561643835616437,-0.33404616615148597,341,0.9342465753424658,965,2.643835616438356,76,0.20821917808219179,1.821917808219184,365
marginal_top10,5,2023-08-04,2024-08-06,16,69,102,100,51,20,6,1,0,0,0,178,0.4876712328767123,4.87143328590331,349,0.9561643835616438,1042,2.8547945205479452,71,0.19452054794520549,0.45205479452055386,365
pair_005,5,2023-08-04,2024-08-06,17,72,101,97,51,21,5,1,0,0,0,175,0.4794520547945205,4.049515477684129,348,0.9534246575342465,1033,2.83013698630137,65,0.1780821917808219,-1.1917808219178039,365
regime_reverse_005,5,2023-08-04,2024-08-06,15,72,107,87,58,20,5,0,1,0,0,171,0.4684931506849315,2.9536250667252295,350,0.958904109589041,1037,2.841095890410959,73,0.2,1.0000000000000064,365
pair_005_regime_reverse_005,5,2023-08-04,2024-08-06,17,74,98,99,48,24,4,1,0,0,0,176,0.4821917808219178,4.32348808042386,348,0.9534246575342465,1028,2.8164383561643835,65,0.1780821917808219,-1.1917808219178039,365
marginal_top10,6,2024-08-07,2025-08-10,20,75,99,105,44,18,4,0,0,0,0,171,0.4684931506849315,2.9536250667252295,345,0.9452054794520548,983,2.6931506849315068,79,0.21643835616438356,2.6438356164383614,365
pair_005,6,2024-08-07,2025-08-10,17,78,104,95,45,18,8,0,0,0,0,166,0.4547945205479452,1.5837620530265994,348,0.9534246575342465,1002,2.745205479452055,80,0.2191780821917808,2.9178082191780863,365
regime_reverse_005,6,2024-08-07,2025-08-10,21,66,112,94,51,16,5,0,0,0,0,166,0.4547945205479452,1.5837620530265994,344,0.9424657534246575,1000,2.73972602739726,81,0.2219178082191781,3.191780821917814,365
pair_005_regime_reverse_005,6,2024-08-07,2025-08-10,19,81,100,90,53,15,7,0,0,0,0,165,0.4520547945205479,1.309789450286869,346,0.947945205479452,1001,2.7424657534246575,79,0.21643835616438356,2.6438356164383614,365
