month,draws,top1_hits,top1_hit_rate,top2_hits,top2_hit_rate,top3_hits,top3_hit_rate,top3_lift_pp_vs_random
2025-08,21,10,0.47619047619047616,13,0.6190476190476191,17,0.8095238095238095,24.890030969764787
2025-09,30,9,0.3,14,0.4666666666666667,18,0.6,3.9376500173838314
2025-10,31,4,0.12903225806451613,15,0.4838709677419355,19,0.6129032258064516,5.227972598028996
2025-11,30,6,0.2,9,0.3,10,0.3333333333333333,-22.729016649282833
2025-12,31,6,0.1935483870967742,13,0.41935483870967744,22,0.7096774193548387,14.905391952867708
2026-01,31,9,0.2903225806451613,12,0.3870967741935484,15,0.4838709677419355,-7.675253208422617
2026-02,24,3,0.125,7,0.2916666666666667,10,0.4166666666666667,-14.395683315949498
2026-03,31,11,0.3548387096774194,14,0.45161290322580644,16,0.5161290322580645,-4.449446756809716
2026-04,30,6,0.2,12,0.4,18,0.6,3.9376500173838314
2026-05,31,12,0.3870967741935484,19,0.6129032258064516,21,0.6774193548387096,11.679585501254797
2026-06,30,9,0.3,13,0.43333333333333335,17,0.5666666666666667,0.6043166840504988
2026-07,31,5,0.16129032258064516,14,0.45161290322580644,19,0.6129032258064516,5.227972598028996
2026-08,14,4,0.2857142857142857,5,0.35714285714285715,10,0.7142857142857143,15.366221445955263
