date,pick1,pick2,pick3,nhay1,nhay2,nhay3,distinct_hits,total_nhay,status
2025-08-23,78,51,81,0,1,0,1,1,LOSS
2025-08-24,73,51,78,0,1,0,1,1,LOSS
2025-08-25,51,96,73,1,2,0,2,3,WIN_PROXY
2025-08-26,51,96,78,0,1,0,1,1,LOSS
2025-08-27,96,51,81,1,0,0,1,1,LOSS
2025-08-28,96,62,51,1,1,0,2,2,WIN_PROXY
2025-08-29,96,62,51,0,1,1,2,2,WIN_PROXY
2025-08-30,96,62,51,0,1,0,1,1,LOSS
2025-08-31,62,96,49,0,0,0,0,0,LOSS
2025-09-01,62,96,42,0,1,0,1,1,LOSS
2025-09-02,96,51,26,1,0,1,2,2,WIN_PROXY
2025-09-03,96,62,02,0,0,0,0,0,LOSS
2025-09-04,96,51,02,0,1,0,1,1,LOSS
2025-09-05,51,45,96,0,3,0,1,3,LOSS
2025-09-06,45,51,70,0,0,0,0,0,LOSS
2025-09-07,45,96,51,0,0,0,0,0,LOSS
2025-09-08,69,62,45,1,0,0,1,1,LOSS
2025-09-09,69,62,32,1,1,0,2,2,WIN_PROXY
2025-09-10,69,62,68,0,3,0,1,3,LOSS
2025-09-11,69,62,54,0,0,0,0,0,LOSS
2025-09-12,69,62,68,0,0,0,0,0,LOSS
2025-09-13,83,69,01,0,0,1,1,1,LOSS
2025-09-14,01,83,51,0,0,0,0,0,LOSS
2025-09-15,14,69,01,0,0,1,1,1,LOSS
2025-09-16,01,82,14,0,0,0,0,0,LOSS
2025-09-17,01,68,51,1,0,1,2,2,WIN_PROXY
2025-09-18,01,51,68,0,0,0,0,0,LOSS
2025-09-19,01,23,51,0,1,0,1,1,LOSS
2025-09-20,23,01,00,1,0,0,1,1,LOSS
2025-09-21,23,69,68,0,0,0,0,0,LOSS
2025-09-22,23,83,82,0,0,0,0,0,LOSS
2025-09-23,23,69,30,0,0,0,0,0,LOSS
2025-09-24,14,23,82,0,0,1,1,1,LOSS
2025-09-25,09,82,88,1,0,0,1,1,LOSS
2025-09-26,09,43,23,0,0,1,1,1,LOSS
2025-09-27,23,09,34,2,0,0,1,2,LOSS
