scheme,fold,start,end,zero_of_3,one_of_3,two_of_3,three_of_3,any_hit_days,any_hit_rate,strict_2plus_days,strict_2plus_rate,strict_lift_pp_vs_random,total_nhay,mean_total_nhay,n
marginal_pool12,1,2019-06-28,2020-07-22,152,165,43,5,213,0.5835616438356165,48,0.13150684931506848,-0.8543571593651295,301,0.8246575342465754,365
marginal_pool12,2,2020-07-23,2021-07-26,161,143,54,7,204,0.5589041095890411,61,0.16712328767123288,2.707286676251311,304,0.8328767123287671,365
marginal_pool12,3,2021-07-27,2022-07-30,140,161,56,8,225,0.6164383561643836,64,0.17534246575342466,3.5292044844704886,342,0.936986301369863,365
marginal_pool12,4,2022-07-31,2023-08-03,163,159,41,2,202,0.5534246575342465,43,0.1178082191780822,-2.2242201730637583,288,0.7890410958904109,365
marginal_pool12,5,2023-08-04,2024-08-06,153,155,50,7,212,0.5808219178082191,57,0.15616438356164383,1.6113962652924059,308,0.8438356164383561,365
marginal_pool12,6,2024-08-07,2025-08-10,145,163,54,3,220,0.6027397260273972,57,0.15616438356164383,1.6113962652924059,313,0.8575342465753425,365
marginal_pool18,1,2019-06-28,2020-07-22,152,165,43,5,213,0.5835616438356165,48,0.13150684931506848,-0.8543571593651295,301,0.8246575342465754,365
marginal_pool18,2,2020-07-23,2021-07-26,161,143,54,7,204,0.5589041095890411,61,0.16712328767123288,2.707286676251311,304,0.8328767123287671,365
marginal_pool18,3,2021-07-27,2022-07-30,140,161,56,8,225,0.6164383561643836,64,0.17534246575342466,3.5292044844704886,342,0.936986301369863,365
marginal_pool18,4,2022-07-31,2023-08-03,163,159,41,2,202,0.5534246575342465,43,0.1178082191780822,-2.2242201730637583,288,0.7890410958904109,365
marginal_pool18,5,2023-08-04,2024-08-06,153,155,50,7,212,0.5808219178082191,57,0.15616438356164383,1.6113962652924059,308,0.8438356164383561,365
marginal_pool18,6,2024-08-07,2025-08-10,145,163,54,3,220,0.6027397260273972,57,0.15616438356164383,1.6113962652924059,313,0.8575342465753425,365
reverse10,1,2019-06-28,2020-07-22,158,159,42,6,207,0.5671232876712329,48,0.13150684931506848,-0.8543571593651295,298,0.8164383561643835,365
reverse10,2,2020-07-23,2021-07-26,157,147,57,4,208,0.5698630136986301,61,0.16712328767123288,2.707286676251311,306,0.8383561643835616,365
reverse10,3,2021-07-27,2022-07-30,135,166,57,7,230,0.6301369863013698,64,0.17534246575342466,3.5292044844704886,347,0.9506849315068493,365
reverse10,4,2022-07-31,2023-08-03,162,163,38,2,203,0.5561643835616439,40,0.1095890410958904,-3.046137981282937,291,0.7972602739726027,365
reverse10,5,2023-08-04,2024-08-06,147,162,51,5,218,0.5972602739726027,56,0.15342465753424658,1.337423662552681,313,0.8575342465753425,365
reverse10,6,2024-08-07,2025-08-10,147,164,50,4,218,0.5972602739726027,54,0.14794520547945206,0.7894784570732283,308,0.8438356164383561,365
reverse20,1,2019-06-28,2020-07-22,158,161,39,7,207,0.5671232876712329,46,0.12602739726027398,-1.4023023648445792,298,0.8164383561643835,365
reverse20,2,2020-07-23,2021-07-26,157,153,52,3,208,0.5698630136986301,55,0.1506849315068493,1.0634510598129532,297,0.8136986301369863,365
reverse20,3,2021-07-27,2022-07-30,138,167,56,4,227,0.6219178082191781,60,0.1643835616438356,2.4333140735115832,335,0.9178082191780822,365
reverse20,4,2022-07-31,2023-08-03,165,160,38,2,200,0.547945205479452,40,0.1095890410958904,-3.046137981282937,284,0.7780821917808219,365
reverse20,5,2023-08-04,2024-08-06,145,164,50,6,220,0.6027397260273972,56,0.15342465753424658,1.337423662552681,315,0.863013698630137,365
reverse20,6,2024-08-07,2025-08-10,145,167,49,4,220,0.6027397260273972,53,0.14520547945205478,0.5155058543335006,309,0.8465753424657534,365
reverse30,1,2019-06-28,2020-07-22,157,164,37,7,208,0.5698630136986301,44,0.12054794520547946,-1.9502475703240318,302,0.8273972602739726,365
reverse30,2,2020-07-23,2021-07-26,158,155,46,6,207,0.5671232876712329,52,0.14246575342465753,0.2415332515937757,299,0.8191780821917808,365
reverse30,3,2021-07-27,2022-07-30,142,169,50,4,223,0.6109589041095891,54,0.14794520547945206,0.7894784570732283,318,0.8712328767123287,365
reverse30,4,2022-07-31,2023-08-03,165,164,33,3,200,0.547945205479452,36,0.09863013698630137,-4.142028392241841,281,0.7698630136986301,365
reverse30,5,2023-08-04,2024-08-06,148,161,47,9,217,0.5945205479452055,56,0.15342465753424658,1.337423662552681,316,0.8657534246575342,365
reverse30,6,2024-08-07,2025-08-10,153,158,50,4,212,0.5808219178082191,54,0.14794520547945206,0.7894784570732283,306,0.8383561643835616,365
pair20,1,2019-06-28,2020-07-22,146,163,51,5,219,0.6,56,0.15342465753424658,1.337423662552681,316,0.8657534246575342,365
pair20,2,2020-07-23,2021-07-26,149,160,49,7,216,0.5917808219178082,56,0.15342465753424658,1.337423662552681,320,0.8767123287671232,365
pair20,3,2021-07-27,2022-07-30,140,167,50,8,225,0.6164383561643836,58,0.1589041095890411,1.8853688680321334,330,0.9041095890410958,365
pair20,4,2022-07-31,2023-08-03,163,164,34,4,202,0.5534246575342465,38,0.10410958904109589,-3.594083186762388,286,0.7835616438356164,365
pair20,5,2023-08-04,2024-08-06,148,155,56,6,217,0.5945205479452055,62,0.16986301369863013,2.9812592789910357,317,0.8684931506849315,365
pair20,6,2024-08-07,2025-08-10,161,155,46,3,204,0.5589041095890411,49,0.13424657534246576,-0.5803845566254018,297,0.8136986301369863,365
reverse20_pair10,1,2019-06-28,2020-07-22,156,158,46,5,209,0.5726027397260274,51,0.13972602739726028,-0.0324393511459492,304,0.8328767123287671,365
reverse20_pair10,2,2020-07-23,2021-07-26,157,155,47,6,208,0.5698630136986301,53,0.14520547945205478,0.5155058543335006,306,0.8383561643835616,365
reverse20_pair10,3,2021-07-27,2022-07-30,136,172,51,6,229,0.6273972602739726,57,0.15616438356164383,1.6113962652924059,325,0.8904109589041096,365
reverse20_pair10,4,2022-07-31,2023-08-03,158,167,37,3,207,0.5671232876712329,40,0.1095890410958904,-3.046137981282937,294,0.8054794520547945,365
reverse20_pair10,5,2023-08-04,2024-08-06,148,161,49,7,217,0.5945205479452055,56,0.15342465753424658,1.337423662552681,317,0.8684931506849315,365
reverse20_pair10,6,2024-08-07,2025-08-10,152,160,47,6,213,0.5835616438356165,53,0.14520547945205478,0.5155058543335006,307,0.8410958904109589,365
reverse20_pair10_double10,1,2019-06-28,2020-07-22,160,153,47,5,205,0.5616438356164384,52,0.14246575342465753,0.2415332515937757,299,0.8191780821917808,365
reverse20_pair10_double10,2,2020-07-23,2021-07-26,156,155,48,6,209,0.5726027397260274,54,0.14794520547945206,0.7894784570732283,308,0.8438356164383561,365
reverse20_pair10_double10,3,2021-07-27,2022-07-30,136,168,55,6,229,0.6273972602739726,61,0.16712328767123288,2.707286676251311,330,0.9041095890410958,365
reverse20_pair10_double10,4,2022-07-31,2023-08-03,158,165,39,3,207,0.5671232876712329,42,0.11506849315068493,-2.4981927758034845,293,0.8027397260273973,365
reverse20_pair10_double10,5,2023-08-04,2024-08-06,147,165,46,7,218,0.5972602739726027,53,0.14520547945205478,0.5155058543335006,315,0.863013698630137,365
reverse20_pair10_double10,6,2024-08-07,2025-08-10,155,158,45,7,210,0.5753424657534246,52,0.14246575342465753,0.2415332515937757,303,0.8301369863013699,365
