number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
00,0.23765728565289646,0.23781207336518248,0.42857142857142855,0.23333333333333334,0.26666666666666666,0.008641975308641976,0.22549934789965312,0.24394442470046968,0.0,1.0,2,200,192,192,0.11096405804807287
01,0.23765728565289646,0.23781929295770576,0.0,0.13333333333333333,0.23333333333333334,0.0049382716049382715,0.22718996497488558,0.20610658686263184,0.3,0.0,1,101,191,187,0.11038612024573916
02,0.23765728565289646,0.2378445627189679,0.14285714285714285,0.3333333333333333,0.2,0.014814814814814815,0.2331071247381992,0.24394442470046968,0.16666666666666666,0.0,2,202,197,195,0.11385374705974143
03,0.23765728565289646,0.23787705512609245,0.14285714285714285,0.13333333333333333,0.2,0.006172839506172839,0.24071490157674524,0.30880928956533454,0.16666666666666666,0.0,4,403,193,193,0.11154199585040658
04,0.23765728565289646,0.2377651496892519,0.42857142857142855,0.26666666666666666,0.2111111111111111,0.011111111111111112,0.2145103369106421,0.21151199226803724,0.0,1.0,6,604,198,193,0.11443168486207514
05,0.23765728565289646,0.23783734259869913,0.2857142857142857,0.3333333333333333,0.26666666666666666,0.016049382716049384,0.23141650766296673,0.2655660463220913,0.03333333333333333,0.0,4,405,191,190,0.11038612024573916
06,0.23765728565289646,0.23785900341185104,0.2857142857142857,0.23333333333333334,0.32222222222222224,0.012345679012345678,0.2364883588886641,0.22772820848425346,0.03333333333333333,0.0,9,906,200,197,0.11558756046674257
07,0.23765728565289646,0.23781929295770576,0.0,0.06666666666666667,0.18888888888888888,0.0024691358024691358,0.22718996497488558,0.23313361388965886,0.43333333333333335,0.0,4,407,191,189,0.11038612024573916
08,0.23765728565289646,0.23781929295770576,0.42857142857142855,0.23333333333333334,0.2111111111111111,0.008641975308641976,0.22718996497488558,0.2547552355112805,0.03333333333333333,0.0,2,208,201,200,0.11616549826907628
09,0.23765728565289646,0.23793482694424917,0.2857142857142857,0.3,0.2222222222222222,0.012345679012345678,0.25423983817860496,0.2763768571329021,0.03333333333333333,0.0,0,009,191,188,0.11038612024573916
10,0.23765728565289646,0.23792399399332742,0.14285714285714285,0.3333333333333333,0.25555555555555554,0.013580246913580245,0.25170391256575625,0.24394442470046968,0.2,0.0,9,910,209,208,0.12078900068774598
11,0.23765728565289646,0.23787344470785482,0.14285714285714285,0.26666666666666666,0.26666666666666666,0.009876543209876543,0.23986959303912903,0.24934983010587508,0.06666666666666667,0.0,1,111,202,201,0.11674343607141
