target_date,generated_at_utc,data_cutoff_date,observed_draws,selected_l2,selected_blend,forecast_sha256,metrics_sha256
2026-08-11,2026-08-11T11:23:20+00:00,2026-08-10,1083,10.0,0.0,6cca72c015e77785656ab545e4bf906c858fcd83f75f40a003241c318d825b69,91ab6dd66f30e1f2028be51e21039dbe0e8e0ff2cf3ab69f0d8a2f20c05775a8
2026-08-12,2026-08-12T11:24:15+00:00,2026-08-11,1083,10.0,0.0,b4f485a227e09dfae69e5ab695fd0686fa7592c168bc980a8e2a375739463842,e6122831f2eb1d29297a5b84c343245fab818706689d69409fcec7e76ba1e5cd
2026-08-13,2026-08-13T09:54:06+00:00,2026-08-12,1083,10.0,0.0,cfdab08c857cc41d55611de9d438988a87e6185cee43ae22c617fae0d049f2a2,7d028dafd49700b603d28fb7162aed35f9771a122d40865a602b3bbc6b2eeb5f
2026-08-14,2026-08-14T09:51:30+00:00,2026-08-13,1083,10.0,0.0,bd9f9a7bfdf1c4fff02d51cad393eb95700a0796e184538018683d9da124607b,42c6e2690f0e48f52c2ed73317e3411672218d642108b22a7798cea79380ca7f
2026-08-15,2026-08-15T09:17:06+00:00,2026-08-14,1083,10.0,0.0,9f8834d9c51bd7c6123f74e75f55e3dfb92aef5bfe2021992f234dc3b3a22ffc,7f37e47ff13fb3d21ac40cd228655c8d19c3b4207babf519dae6e49cd216ee9c
2026-08-16,2026-08-16T09:17:48+00:00,2026-08-15,1083,10.0,0.0,15d771528011bbcd5be317a5645f95d9da44da3f4b236c25250b9e3b9fde11af,2919c69ce148694377711ce295f736e640ccd98ac607698c3f72b5ff2f3c117f
2026-08-17,2026-08-17T09:30:43+00:00,2026-08-16,1083,10.0,0.0,cc4d92cc9f1e7b1a1ae2dea13656802f470510b85e1db38a5b2a374340228496,1ffa4356e79bc9c4ac3cc7212c6afae0d68092a3734ab2fd840d48cbc2ac07fb
2026-08-18,2026-08-18T09:22:16+00:00,2026-08-17,1083,10.0,0.0,c74e29ffafee28584f7088d9509a66503f0cbd8ba0ef541c2986a16019749015,6709dde397bd1820c60ee786313d7db8a3e53b4b447d33c231b9681b7c7129e3
2026-08-19,2026-08-19T09:23:14+00:00,2026-08-18,1083,10.0,0.0,77cfaf350a381d09f4465d8b0b9d3e2389d7e74778b4b72013f72721a1826878,79aa6d46db5c17a341cf953418527c8f45255c73e339966d6e4bd5f2dea84658
2026-08-20,2026-08-20T09:24:01+00:00,2026-08-19,1083,10.0,0.0,9348a25a6e25aea231179d1a48fccfebbdd3ed34485c9d513e03a39cba6e35a9,ce59786c7bf5e58e623481e027e7f8c3f991237b57eaee9075fa68fb82e937b7
2026-08-21,2026-08-21T09:26:09+00:00,2026-08-20,1083,10.0,0.0,ed89106f71e9ede7143e5e6bff6dc4da05f708a9285d0d3538c3b54e79bc484e,14fbdfa92798eb99fd63cd1a5a55de54f3f5076c2e9b122eb2b59fc349b00808
