metric,value
cv_brier,0.02226700803847054
cv_log_loss,0.10869156579580139
baseline_brier,0.022267087248935676
baseline_log_loss,0.10869331087731604
brier_improvement,7.921046513495456e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-08
forecast_kind,live_pre_draw
generated_at_utc,2026-09-08T13:10:43+00:00
data_cutoff_date,2026-09-07
history_calendar_start,2023-09-09
history_calendar_end,2026-09-07
