target_date,generated_at_utc,data_cutoff_date,observed_draws,selected_recipe,selected_blend,forecast_sha256,metrics_sha256
2026-08-11,2026-08-11T11:23:38+00:00,2026-08-10,1083,long_only,0.04,cee26a47d39861a9e0db541aa2ec77c25e58bec82f964b8be5e2dbdd252eb741,642b1f9cfb456fadf182448ff60a18334bbb0899673a27206828dedeb70f14fe
2026-08-12,2026-08-12T11:24:33+00:00,2026-08-11,1083,long_only,0.04,e58a1e5084da283eaa4f46ab57d446944c76d4340c594cb2a708dd2264202542,29109ba1692ac98d01f95520f612c359752b89317cc689155922f98a0160622f
2026-08-13,2026-08-13T09:54:24+00:00,2026-08-12,1083,long_only,0.04,d2a8a2b652312b70240946334e901437343fa21456ae3cd56a2e878bb0a6a71f,526d26803810970d2fd3962d982e3676949dc7789ad95afefe5ecbc362102d70
2026-08-14,2026-08-14T09:51:47+00:00,2026-08-13,1083,long_only,0.04,99d34b006e7c077f79aa6eb3980cd889ed177405fdb80b7ac25b0251496a7ebe,af2ff4e34c11ec7dbb61c85687e7eab03d64a9bb6f558faba158143862239e54
2026-08-15,2026-08-15T09:17:19+00:00,2026-08-14,1083,long_only,0.06,29c9055b76a2d12b6f92f4b48321ae7e133e0f16027797a1643a6e55029103de,5d2b97b17ea9fc127385f0075103750d79c6119432d5765cf67f4fe103178336
2026-08-16,2026-08-16T09:18:01+00:00,2026-08-15,1083,long_only,0.06,aaba88f8dd9e128274435861d0ca8f06259091ab2deed85e12b65ba55e051436,4c90fcaf760c0605fe260cac64e6e7a75ae63fc7f7a748d3d77de12f1e863b15
2026-08-17,2026-08-17T09:30:59+00:00,2026-08-16,1083,long_only,0.06,1fe7f476220ac6a9967b5b1a32eb8d409d8beae94314dcf742ac04ed286ce01f,7ba874d470fb2e85317cfae9da4469d1f3602c380e5e1be3b13d8dd83317097b
2026-08-18,2026-08-18T09:22:32+00:00,2026-08-17,1083,long_only,0.06,93f1501f324a821423232c64c2760a6e6f067557864897454b97bca239aa347a,235f41040c688cb5f76b18263bf4785905d702413de811878fbf275cf4c3a267
2026-08-19,2026-08-19T09:23:27+00:00,2026-08-18,1083,long_only,0.04,49e97c08d55311e011a79f6d5667cfdaf848caafe73a911d3736213fa11b17f8,53b7752d2ccbe1054929b0f33130d7ff5f31b8576cc88ab250deea4e398c4daa
2026-08-20,2026-08-20T09:24:18+00:00,2026-08-19,1083,long_only,0.06,e0412c884a2841a94ec8c3b9347587e109e8a3dca6485556aea3b2e1927acd31,f749fbb799452792a68517491832e817efe94065e37db56b6ff901f6494ed264
2026-08-21,2026-08-21T09:26:22+00:00,2026-08-20,1083,long_only,0.06,c7720bf317e70cb4ed90806e4cdb28cf109ce7e1a2167f1e9c90ad4fbe35fce9,f193fdfccfe786c9fa0691636a30a4a072eac31fde00d66b2c30df9809f95a35
2026-08-22,2026-08-22T09:17:54+00:00,2026-08-21,1083,long_only,0.06,a16edbc20c4a7e618c984320928dc68c68c9f24f155df8f55ebff2d0c2bad4ab,ce5d055cd1bae1359c545a7cf6193ce09a89205c29a059aebdfa499401de4b2f
