metric,value
cv_brier,0.18086911661323074
cv_log_loss,0.5476820554217732
baseline_brier,0.18086911661323074
baseline_log_loss,0.5476820554217732
brier_improvement,0.0
theoretical_baseline,0.23765728565289646
selected_feature_set,long_only
selected_l2,10.0
selected_blend,0.0
observed_draws,1083
target_date,2026-08-26
forecast_kind,post_draw_preview
generated_at_utc,2026-08-25T14:22:12+00:00
data_cutoff_date,2026-08-25
history_calendar_start,2023-08-27
history_calendar_end,2026-08-25
upstream_max_date_seen,2026-08-25
