metric,value
cv_brier,0.022269678503142595
cv_log_loss,0.1087030861913857
baseline_brier,0.022269702324211414
baseline_log_loss,0.10870361288563694
brier_improvement,2.382106881887447e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.04
observed_draws,1083
target_date,2026-08-19
forecast_kind,post_draw_preview
generated_at_utc,2026-08-18T14:08:24+00:00
data_cutoff_date,2026-08-18
history_calendar_start,2023-08-20
history_calendar_end,2026-08-18
