number,draw_presence_2y,presence_rate_2y,occurrences_2y,occurrence_rate_per_prize,presence_prev_year,presence_rate_prev_year,presence_recent_year,presence_rate_recent_year,presence_rate_delta_recent_minus_prev,occurrences_prev_year,occurrences_recent_year,presence_last_30,presence_rate_last_30,presence_last_90,presence_rate_last_90,presence_last_180,presence_rate_last_180,current_gap_draws,max_gap_draws_2y,longest_presence_streak_2y,special_hits_2y,special_hits_prev_year,special_hits_recent_year
00,152,0.21052631578947367,179,0.00918231250641223,79,0.2188365650969529,73,0.20221606648199447,-0.01662049861495843,96,83,5,0.16666666666666666,21,0.23333333333333334,36,0.2,2,18,5,6,3,3
01,178,0.24653739612188366,199,0.010208269211039294,85,0.23545706371191136,93,0.25761772853185594,0.02216066481994458,92,107,6,0.2,21,0.23333333333333334,41,0.22777777777777777,4,14,5,9,4,5
02,170,0.23545706371191136,199,0.010208269211039294,83,0.2299168975069252,87,0.2409972299168975,0.011080332409972304,96,103,10,0.3333333333333333,18,0.2,37,0.20555555555555555,0,22,4,4,3,1
03,173,0.23961218836565096,190,0.009746588693957114,89,0.24653739612188366,84,0.23268698060941828,-0.01385041551246538,95,95,5,0.16666666666666666,21,0.23333333333333334,40,0.2222222222222222,0,24,4,7,5,2
04,152,0.21052631578947367,177,0.009079716835949523,78,0.21606648199445982,74,0.20498614958448755,-0.011080332409972277,92,85,8,0.26666666666666666,20,0.2222222222222222,41,0.22777777777777777,0,26,4,9,4,5
05,172,0.23822714681440443,199,0.010208269211039294,81,0.22437673130193905,91,0.2520775623268698,0.027700831024930733,94,105,12,0.4,22,0.24444444444444444,45,0.25,5,18,4,9,3,6
06,173,0.23961218836565096,192,0.009849184364419821,97,0.26869806094182824,76,0.21052631578947367,-0.05817174515235457,107,85,8,0.26666666666666666,29,0.32222222222222224,45,0.25,0,24,5,8,6,2
07,161,0.22299168975069253,180,0.009233610341643583,85,0.23545706371191136,76,0.21052631578947367,-0.024930747922437685,98,82,2,0.06666666666666667,19,0.2111111111111111,41,0.22777777777777777,8,28,4,3,2,1
08,169,0.23407202216066483,193,0.009900482199651174,88,0.24376731301939059,81,0.22437673130193905,-0.019390581717451533,98,95,6,0.2,17,0.18888888888888888,38,0.2111111111111111,11,20,3,9,4,5
09,196,0.27146814404432135,227,0.011644608597517184,96,0.2659279778393352,100,0.2770083102493075,0.011080332409972304,114,113,8,0.26666666666666666,21,0.23333333333333334,54,0.3,3,15,5,12,10,2
10,177,0.2451523545706371,206,0.010567354057658766,91,0.2520775623268698,86,0.23822714681440443,-0.013850415512465353,106,100,11,0.36666666666666664,24,0.26666666666666666,47,0.2611111111111111,1,13,4,2,0,2
11,169,0.23407202216066483,182,0.00933620601210629,91,0.2520775623268698,78,0.21606648199445982,-0.03601108033240996,98,84,9,0.3,23,0.25555555555555554,46,0.25555555555555554,2,16,5,5,4,1
12,168,0.23268698060941828,188,0.009643993023494408,74,0.20498614958448755,94,0.26038781163434904,0.055401662049861494,85,103,9,0.3,25,0.2777777777777778,42,0.23333333333333334,1,21,5,7,3,4
13,200,0.2770083102493075,220,0.011285523750897712,100,0.2770083102493075,100,0.2770083102493075,0.0,104,116,7,0.23333333333333334,29,0.32222222222222224,57,0.31666666666666665,4,16,4,7,5,2
14,184,0.2548476454293629,208,0.010669949728121473,81,0.22437673130193905,103,0.2853185595567867,0.060941828254847646,90,118,4,0.13333333333333333,21,0.23333333333333334,49,0.2722222222222222,0,19,7,8,2,6
15,163,0.2257617728531856,187,0.009592695188263054,89,0.24653739612188366,74,0.20498614958448755,-0.041551246537396114,104,83,7,0.23333333333333334,18,0.2,37,0.20555555555555555,3,22,4,6,6,0
16,176,0.24376731301939059,200,0.010259567046270648,88,0.24376731301939059,88,0.24376731301939059,0.0,104,96,3,0.1,17,0.18888888888888888,40,0.2222222222222222,1,18,4,5,1,4
17,171,0.23684210526315788,189,0.009695290858725761,81,0.22437673130193905,90,0.24930747922437674,0.024930747922437685,85,104,10,0.3333333333333333,23,0.25555555555555554,46,0.25555555555555554,0,23,4,11,6,5
18,160,0.22160664819944598,179,0.00918231250641223,86,0.23822714681440443,74,0.20498614958448755,-0.033240997229916885,97,82,8,0.26666666666666666,23,0.25555555555555554,41,0.22777777777777777,2,17,5,7,7,0
19,177,0.2451523545706371,206,0.010567354057658766,95,0.2631578947368421,82,0.22714681440443213,-0.03601108033240996,115,91,11,0.36666666666666664,25,0.2777777777777778,38,0.2111111111111111,2,18,4,9,6,3
20,149,0.20637119113573407,171,0.008771929824561403,76,0.21052631578947367,73,0.20221606648199447,-0.0083102493074792,88,83,4,0.13333333333333333,16,0.17777777777777778,40,0.2222222222222222,4,23,4,3,1,2
21,174,0.2409972299168975,197,0.010105673540576588,88,0.24376731301939059,86,0.23822714681440443,-0.005540166204986152,99,98,5,0.16666666666666666,22,0.24444444444444444,45,0.25,1,24,4,11,5,6
22,170,0.23545706371191136,197,0.010105673540576588,91,0.2520775623268698,79,0.2188365650969529,-0.033240997229916885,105,92,5,0.16666666666666666,18,0.2,36,0.2,0,23,5,8,3,5
23,173,0.23961218836565096,192,0.009849184364419821,88,0.24376731301939059,85,0.23545706371191136,-0.008310249307479228,96,96,6,0.2,22,0.24444444444444444,39,0.21666666666666667,7,22,4,8,3,5
24,180,0.24930747922437674,196,0.010054375705345234,95,0.2631578947368421,85,0.23545706371191136,-0.027700831024930733,104,92,7,0.23333333333333334,20,0.2222222222222222,36,0.2,6,21,4,8,4,4
25,175,0.24238227146814403,201,0.010310864881502001,88,0.24376731301939059,87,0.2409972299168975,-0.002770083102493076,98,103,5,0.16666666666666666,15,0.16666666666666666,39,0.21666666666666667,2,24,5,9,5,4
26,160,0.22160664819944598,177,0.009079716835949523,86,0.23822714681440443,74,0.20498614958448755,-0.033240997229916885,95,82,5,0.16666666666666666,19,0.2111111111111111,34,0.18888888888888888,11,36,4,5,3,2
27,175,0.24238227146814403,204,0.010464758387196061,73,0.20221606648199447,102,0.28254847645429365,0.08033240997229918,86,118,9,0.3,26,0.28888888888888886,49,0.2722222222222222,1,18,4,7,4,3
28,164,0.22714681440443213,182,0.00933620601210629,78,0.21606648199445982,86,0.23822714681440443,0.02216066481994461,84,98,4,0.13333333333333333,17,0.18888888888888888,40,0.2222222222222222,8,22,4,8,3,5
29,157,0.21745152354570638,172,0.008823227659792756,87,0.2409972299168975,70,0.19390581717451524,-0.047091412742382266,92,80,8,0.26666666666666666,15,0.16666666666666666,31,0.17222222222222222,1,21,4,7,4,3
30,165,0.22853185595567868,190,0.009746588693957114,81,0.22437673130193905,84,0.23268698060941828,0.008310249307479228,93,97,6,0.2,17,0.18888888888888888,49,0.2722222222222222,5,25,4,9,6,3
31,176,0.24376731301939059,201,0.010310864881502001,84,0.23268698060941828,92,0.2548476454293629,0.02216066481994461,93,108,4,0.13333333333333333,24,0.26666666666666666,50,0.2777777777777778,0,22,7,3,2,1
32,179,0.24792243767313019,207,0.01061865189289012,89,0.24653739612188366,90,0.24930747922437674,0.002770083102493076,103,104,9,0.3,26,0.28888888888888886,48,0.26666666666666666,0,21,3,8,5,3
33,159,0.22022160664819945,178,0.009131014671180876,75,0.2077562326869806,84,0.23268698060941828,0.024930747922437685,82,96,8,0.26666666666666666,20,0.2222222222222222,39,0.21666666666666667,6,21,3,8,3,5
34,161,0.22299168975069253,173,0.00887452549502411,74,0.20498614958448755,87,0.2409972299168975,0.03601108033240996,75,98,8,0.26666666666666666,19,0.2111111111111111,37,0.20555555555555555,0,28,5,7,3,4
35,172,0.23822714681440443,188,0.009643993023494408,89,0.24653739612188366,83,0.2299168975069252,-0.016620498614958457,98,90,8,0.26666666666666666,19,0.2111111111111111,37,0.20555555555555555,4,21,4,11,8,3
36,175,0.24238227146814403,208,0.010669949728121473,89,0.24653739612188366,86,0.23822714681440443,-0.008310249307479228,108,100,5,0.16666666666666666,24,0.26666666666666666,44,0.24444444444444444,9,17,4,11,4,7
37,152,0.21052631578947367,177,0.009079716835949523,74,0.20498614958448755,78,0.21606648199445982,0.011080332409972277,88,89,6,0.2,21,0.23333333333333334,43,0.2388888888888889,15,20,3,6,0,6
38,163,0.2257617728531856,186,0.009541397353031703,79,0.2188365650969529,84,0.23268698060941828,0.01385041551246538,88,98,6,0.2,24,0.26666666666666666,45,0.25,8,20,4,11,3,8
39,171,0.23684210526315788,195,0.010003077870113881,98,0.27146814404432135,73,0.20221606648199447,-0.06925207756232687,111,84,6,0.2,16,0.17777777777777778,32,0.17777777777777778,10,20,6,9,3,6
40,153,0.21191135734072022,179,0.00918231250641223,78,0.21606648199445982,75,0.2077562326869806,-0.008310249307479228,95,84,4,0.13333333333333333,20,0.2222222222222222,40,0.2222222222222222,11,21,5,6,4,2
