number,draw_presence_3y,presence_rate_3y,occurrences_3y,occurrence_rate_per_prize,presence_rate_last_30,presence_rate_last_90,presence_rate_last_180,presence_rate_last_365,presence_rate_last_730,current_gap_draws,max_gap_draws_3y,longest_presence_streak_3y,special_hits_3y
00,245,0.22622345337026778,287,0.00981498580759892,0.3,0.28888888888888886,0.21666666666666667,0.2136986301369863,0.21506849315068494,1,18,5,11
01,245,0.22622345337026778,273,0.00933620601210629,0.13333333333333333,0.2222222222222222,0.2111111111111111,0.25205479452054796,0.24383561643835616,12,21,5,12
02,252,0.23268698060941828,291,0.009951780034882528,0.3,0.2,0.18888888888888888,0.23835616438356164,0.2328767123287671,8,22,5,7
03,261,0.2409972299168975,294,0.010054375705345234,0.13333333333333333,0.18888888888888888,0.19444444444444445,0.23013698630136986,0.236986301369863,8,24,4,10
04,230,0.2123730378578024,265,0.009062617557539072,0.3,0.2222222222222222,0.2222222222222222,0.2054794520547945,0.21095890410958903,0,26,4,12
05,248,0.22899353647276086,283,0.00967819158031531,0.3,0.26666666666666666,0.2611111111111111,0.2547945205479452,0.23835616438356164,4,22,4,11
06,257,0.23730378578024008,287,0.00981498580759892,0.26666666666666666,0.32222222222222224,0.2611111111111111,0.21095890410958903,0.23972602739726026,2,24,5,10
07,245,0.22622345337026778,272,0.009302007455285387,0.06666666666666667,0.18888888888888888,0.2111111111111111,0.2054794520547945,0.22054794520547946,16,28,4,5
08,246,0.22714681440443213,279,0.009541397353031703,0.26666666666666666,0.2111111111111111,0.22777777777777777,0.2328767123287671,0.236986301369863,2,20,3,10
09,276,0.2548476454293629,322,0.011011935296330495,0.23333333333333334,0.2222222222222222,0.28888888888888886,0.27945205479452057,0.27123287671232876,4,16,5,18
10,275,0.25392428439519854,322,0.011011935296330495,0.3333333333333333,0.25555555555555554,0.25,0.23835616438356164,0.24383561643835616,2,19,4,5
11,259,0.23915050784856878,287,0.00981498580759892,0.2,0.24444444444444444,0.24444444444444444,0.21643835616438356,0.2328767123287671,5,16,5,7
12,257,0.23730378578024008,291,0.009951780034882528,0.3,0.25555555555555554,0.23333333333333334,0.25753424657534246,0.2328767123287671,1,21,5,12
13,283,0.2613111726685134,311,0.010635751171300572,0.2,0.3,0.3111111111111111,0.273972602739726,0.27534246575342464,0,19,4,12
14,278,0.2566943674976916,314,0.010738346841763278,0.2,0.2222222222222222,0.2777777777777778,0.2876712328767123,0.25616438356164384,1,19,7,9
15,246,0.22714681440443213,282,0.009643993023494408,0.3,0.2111111111111111,0.20555555555555555,0.2054794520547945,0.22602739726027396,2,22,6,6
16,267,0.24653739612188366,305,0.010430559830375158,0.1,0.16666666666666666,0.21666666666666667,0.23835616438356164,0.24246575342465754,0,18,4,8
17,255,0.23545706371191136,286,0.009780787250778017,0.3333333333333333,0.26666666666666666,0.2611111111111111,0.2493150684931507,0.23835616438356164,1,23,4,13
18,249,0.2299168975069252,278,0.0095071987962108,0.26666666666666666,0.24444444444444444,0.23333333333333334,0.2054794520547945,0.2219178082191781,3,17,5,11
19,264,0.24376731301939059,307,0.010498956944016962,0.26666666666666666,0.26666666666666666,0.20555555555555555,0.2219178082191781,0.24383561643835616,5,18,4,12
20,251,0.23176361957525393,288,0.009849184364419821,0.23333333333333334,0.2,0.2388888888888889,0.20821917808219179,0.2095890410958904,4,23,5,8
21,265,0.24469067405355494,301,0.010293765603091549,0.2,0.25555555555555554,0.24444444444444444,0.23835616438356164,0.2410958904109589,2,24,4,15
22,267,0.24653739612188366,304,0.010396361273554255,0.2,0.18888888888888888,0.20555555555555555,0.2219178082191781,0.2356164383561644,2,23,7,12
23,252,0.23268698060941828,285,0.009746588693957114,0.16666666666666666,0.2222222222222222,0.20555555555555555,0.2328767123287671,0.236986301369863,15,22,4,11
24,266,0.24561403508771928,295,0.010088574262166137,0.23333333333333334,0.2222222222222222,0.2111111111111111,0.23835616438356164,0.2493150684931507,3,21,4,12
25,268,0.247460757156048,303,0.010362162716733354,0.2,0.16666666666666666,0.21666666666666667,0.23835616438356164,0.2410958904109589,5,24,5,14
26,249,0.2299168975069252,279,0.009541397353031703,0.23333333333333334,0.25555555555555554,0.20555555555555555,0.21095890410958903,0.22465753424657534,1,36,4,11
27,255,0.23545706371191136,297,0.010156971375807941,0.3333333333333333,0.28888888888888886,0.2777777777777778,0.27945205479452057,0.24246575342465754,1,21,4,10
28,244,0.22530009233610343,274,0.00937040456892719,0.13333333333333333,0.2,0.22777777777777777,0.2356164383561644,0.22602739726027396,3,22,4,8
29,244,0.22530009233610343,273,0.00933620601210629,0.3,0.2,0.17777777777777778,0.2,0.2191780821917808,0,21,4,9
30,248,0.22899353647276086,280,0.009575595909852604,0.13333333333333333,0.18888888888888888,0.2611111111111111,0.23013698630136986,0.22602739726027396,13,26,4,10
31,250,0.23084025854108955,282,0.009643993023494408,0.13333333333333333,0.24444444444444444,0.2833333333333333,0.25205479452054796,0.24246575342465754,2,22,7,7
32,286,0.26408125577100644,335,0.011456516535002223,0.23333333333333334,0.26666666666666666,0.24444444444444444,0.24383561643835616,0.2452054794520548,8,21,5,15
33,248,0.22899353647276086,281,0.009609794466673507,0.2,0.23333333333333334,0.22777777777777777,0.23835616438356164,0.2219178082191781,0,21,3,13
34,227,0.20960295475530932,245,0.008378646421121029,0.36666666666666664,0.25555555555555554,0.2111111111111111,0.2465753424657534,0.2273972602739726,0,34,5,11
35,255,0.23545706371191136,279,0.009541397353031703,0.3333333333333333,0.23333333333333334,0.2111111111111111,0.2328767123287671,0.2410958904109589,0,21,4,14
36,270,0.24930747922437674,309,0.010567354057658766,0.26666666666666666,0.2777777777777778,0.2611111111111111,0.2465753424657534,0.2452054794520548,2,21,4,17
37,231,0.21329639889196675,265,0.009062617557539072,0.13333333333333333,0.23333333333333334,0.22777777777777777,0.2136986301369863,0.20821917808219179,23,23,4,8
38,229,0.21144967682363805,262,0.008960021887076366,0.2,0.24444444444444444,0.25,0.2328767123287671,0.22602739726027396,2,20,4,14
39,254,0.234533702677747,291,0.009951780034882528,0.16666666666666666,0.18888888888888888,0.17222222222222222,0.20273972602739726,0.2356164383561644,1,20,6,15
40,246,0.22714681440443213,284,0.009712390137136213,0.2,0.23333333333333334,0.23333333333333334,0.21095890410958903,0.2136986301369863,4,21,5,11
41,251,0.23176361957525393,279,0.009541397353031703,0.26666666666666666,0.2222222222222222,0.23333333333333334,0.2273972602739726,0.2191780821917808,1,24,4,6
42,260,0.24007386888273316,283,0.00967819158031531,0.26666666666666666,0.2222222222222222,0.2722222222222222,0.2602739726027397,0.2493150684931507,0,19,5,9
43,255,0.23545706371191136,286,0.009780787250778017,0.16666666666666666,0.17777777777777778,0.17777777777777778,0.21643835616438356,0.23424657534246576,4,19,5,12
44,263,0.24284395198522624,302,0.010327964159912452,0.23333333333333334,0.18888888888888888,0.2222222222222222,0.2356164383561644,0.23972602739726026,1,18,4,11
45,262,0.24192059095106186,302,0.010327964159912452,0.16666666666666666,0.23333333333333334,0.24444444444444444,0.2465753424657534,0.2452054794520548,1,25,5,10
46,251,0.23176361957525393,282,0.009643993023494408,0.23333333333333334,0.23333333333333334,0.24444444444444444,0.2493150684931507,0.23972602739726026,3,20,4,8
47,256,0.2363804247460757,291,0.009951780034882528,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.2356164383561644,0.2452054794520548,3,27,4,12
48,246,0.22714681440443213,278,0.0095071987962108,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23013698630136986,0.2328767123287671,1,21,4,11
49,284,0.26223453370267774,311,0.010635751171300572,0.23333333333333334,0.18888888888888888,0.2111111111111111,0.2465753424657534,0.24794520547945206,0,17,5,9
50,262,0.24192059095106186,295,0.010088574262166137,0.36666666666666664,0.3333333333333333,0.29444444444444445,0.25205479452054796,0.24246575342465754,2,20,7,16
51,247,0.22807017543859648,280,0.009575595909852604,0.23333333333333334,0.25555555555555554,0.2722222222222222,0.2602739726027397,0.24246575342465754,0,22,4,12
52,284,0.26223453370267774,322,0.011011935296330495,0.3333333333333333,0.3333333333333333,0.32222222222222224,0.26575342465753427,0.23972602739726026,2,17,5,12
53,260,0.24007386888273316,299,0.010225368489449745,0.16666666666666666,0.2111111111111111,0.18888888888888888,0.21095890410958903,0.2465753424657534,0,30,4,10
54,263,0.24284395198522624,305,0.010430559830375158,0.36666666666666664,0.34444444444444444,0.28888888888888886,0.26575342465753427,0.26301369863013696,0,25,5,10
55,228,0.21052631578947367,255,0.00872063198933005,0.16666666666666666,0.24444444444444444,0.22777777777777777,0.1917808219178082,0.2054794520547945,1,21,4,10
56,249,0.2299168975069252,285,0.009746588693957114,0.23333333333333334,0.18888888888888888,0.21666666666666667,0.20821917808219179,0.2273972602739726,2,17,5,10
