number,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
00,2,200,192,192,0.11100832562442182
01,1,101,191,187,0.11043015726179463
02,2,202,197,195,0.11389916743755782
03,4,403,193,193,0.11158649398704903
04,6,604,198,193,0.11447733580018501
05,4,405,190,189,0.10985198889916743
06,9,906,200,197,0.11563367252543941
07,4,407,191,189,0.11043015726179463
08,2,208,201,200,0.1162118408880666
09,0,009,191,188,0.11043015726179463
10,9,910,209,208,0.12083718778908419
11,1,111,201,200,0.1162118408880666
12,7,712,205,205,0.11852451433857539
13,0,013,187,182,0.10811748381128584
14,1,114,200,196,0.11563367252543941
15,9,915,202,200,0.1167900092506938
16,4,416,193,189,0.11158649398704903
17,8,817,191,187,0.11043015726179463
18,7,718,205,204,0.11852451433857539
19,8,819,194,194,0.11216466234967623
20,1,120,200,198,0.11563367252543941
21,2,221,198,197,0.11447733580018501
22,3,322,191,188,0.11043015726179463
23,7,723,181,178,0.10464847363552267
24,2,224,198,198,0.11447733580018501
25,6,625,190,189,0.10985198889916743
26,3,326,189,187,0.10927382053654024
27,5,527,192,191,0.11100832562442182
28,4,428,179,178,0.10349213691026828
29,4,429,187,184,0.10811748381128584
30,4,430,183,180,0.10580481036077706
31,8,831,196,189,0.11332099907493062
32,6,632,189,185,0.10927382053654024
33,6,633,182,178,0.10522664199814986
34,6,634,190,189,0.10985198889916743
35,3,335,180,178,0.10407030527289547
36,7,736,202,199,0.1167900092506938
37,4,437,183,180,0.10580481036077706
38,1,138,205,204,0.11852451433857539
39,9,939,188,185,0.10869565217391304
40,1,140,190,188,0.10985198889916743
41,8,841,207,205,0.1196808510638298
42,4,442,191,190,0.11043015726179463
43,4,443,199,194,0.11505550416281221
44,3,344,222,217,0.12835337650323775
45,5,545,183,183,0.10580481036077706
46,2,246,190,188,0.10985198889916743
47,8,847,201,198,0.1162118408880666
48,2,248,190,188,0.10985198889916743
49,5,549,205,201,0.11852451433857539
50,2,250,181,180,0.10464847363552267
51,8,851,198,195,0.11447733580018501
52,9,952,210,203,0.12141535615171138
53,6,653,201,197,0.1162118408880666
54,6,654,191,189,0.11043015726179463
55,7,755,188,185,0.10869565217391304
56,0,056,185,182,0.10696114708603145
57,8,857,193,190,0.11158649398704903
58,3,358,184,181,0.10638297872340426
59,0,059,216,213,0.12488436632747456
60,3,360,198,194,0.11447733580018501
61,2,261,195,193,0.11274283071230343
62,6,662,212,204,0.12257169287696577
63,7,763,192,188,0.11100832562442182
64,9,964,199,198,0.11505550416281221
65,3,365,187,182,0.10811748381128584
66,6,666,205,202,0.11852451433857539
67,8,867,184,182,0.10638297872340426
68,3,368,192,191,0.11100832562442182
69,3,369,190,187,0.10985198889916743
70,3,370,193,193,0.11158649398704903
71,4,471,189,189,0.10927382053654024
72,5,572,199,196,0.11505550416281221
73,2,273,183,183,0.10580481036077706
74,0,074,194,189,0.11216466234967623
75,3,375,206,202,0.11910268270120258
76,1,176,186,183,0.10753931544865865
77,7,777,190,187,0.10985198889916743
78,8,878,195,195,0.11274283071230343
79,7,779,195,192,0.11274283071230343
80,3,380,184,184,0.10638297872340426
81,6,681,187,184,0.10811748381128584
82,8,882,196,191,0.11332099907493062
83,4,483,195,192,0.11274283071230343
84,4,484,196,194,0.11332099907493062
85,8,885,192,188,0.11100832562442182
86,1,186,193,191,0.11158649398704903
87,8,887,193,191,0.11158649398704903
88,2,288,203,200,0.117368177613321
89,4,489,188,182,0.10869565217391304
90,1,190,182,182,0.10522664199814986
91,6,691,187,184,0.10811748381128584
92,4,492,205,202,0.11852451433857539
93,9,993,186,184,0.10753931544865865
94,1,194,198,197,0.11447733580018501
95,2,295,196,196,0.11332099907493062
96,3,396,187,187,0.10811748381128584
97,6,697,191,188,0.11043015726179463
98,7,798,195,194,0.11274283071230343
99,5,599,186,184,0.10753931544865865
