number,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
00,2,200,193,193,0.11134957998707652
01,1,101,191,187,0.11019569832917936
02,2,202,197,195,0.11365734330287086
03,4,403,193,193,0.11134957998707652
04,6,604,198,193,0.11423428413181944
05,4,405,191,190,0.11019569832917936
06,9,906,200,197,0.11538816578971661
07,4,407,191,189,0.11019569832917936
08,2,208,201,200,0.11596510661866519
09,0,009,191,188,0.11019569832917936
10,9,910,209,208,0.12058063325025385
11,1,111,202,201,0.11654204744761378
12,7,712,205,205,0.11827286993445953
13,0,013,187,182,0.10788793501338503
14,1,114,200,196,0.11538816578971661
15,9,915,202,200,0.11654204744761378
16,4,416,193,189,0.11134957998707652
17,8,817,194,190,0.11192652081602511
18,7,718,206,205,0.1188498107634081
19,8,819,195,195,0.11250346164497368
20,1,120,201,199,0.11596510661866519
21,2,221,198,197,0.11423428413181944
22,3,322,192,189,0.11077263915812795
23,7,723,181,178,0.10442629003969353
24,2,224,199,199,0.11481122496076802
25,5,525,191,189,0.11019569832917936
26,3,326,190,188,0.10961875750023077
27,5,527,192,191,0.11077263915812795
28,4,428,179,178,0.10327240838179637
29,4,429,187,184,0.10788793501338503
30,4,430,183,180,0.1055801716975907
31,8,831,196,189,0.11308040247392227
32,6,632,189,185,0.1090418166712822
33,6,633,185,180,0.10673405335548786
34,6,634,191,190,0.11019569832917936
35,3,335,181,179,0.10442629003969353
36,7,736,202,199,0.11654204744761378
37,4,437,184,181,0.10615711252653928
38,1,138,206,205,0.1188498107634081
39,9,939,189,186,0.1090418166712822
40,1,140,190,188,0.10961875750023077
41,8,841,207,205,0.11942675159235669
42,4,442,191,190,0.11019569832917936
43,4,443,199,194,0.11481122496076802
44,3,344,223,218,0.12865780485553402
45,5,545,183,183,0.1055801716975907
46,2,246,190,188,0.10961875750023077
47,8,847,202,199,0.11654204744761378
48,2,248,190,188,0.10961875750023077
49,5,549,205,201,0.11827286993445953
50,2,250,182,181,0.1050032308686421
51,8,851,199,196,0.11481122496076802
52,9,952,210,203,0.12115757407920244
53,6,653,201,197,0.11596510661866519
54,6,654,192,190,0.11077263915812795
55,7,755,188,185,0.10846487584233361
56,0,056,185,182,0.10673405335548786
57,8,857,193,190,0.11134957998707652
58,3,358,185,182,0.10673405335548786
59,0,059,217,214,0.12519615988184252
60,3,360,199,195,0.11481122496076802
61,2,261,195,193,0.11250346164497368
62,6,662,213,205,0.12288839656604819
63,7,763,192,188,0.11077263915812795
64,9,964,202,200,0.11654204744761378
65,3,365,188,183,0.10846487584233361
66,6,666,205,202,0.11827286993445953
67,8,867,184,182,0.10615711252653928
68,3,368,192,191,0.11077263915812795
69,3,369,191,188,0.11019569832917936
70,3,370,194,194,0.11192652081602511
71,4,471,189,189,0.1090418166712822
72,5,572,199,196,0.11481122496076802
73,2,273,183,183,0.1055801716975907
74,0,074,197,192,0.11365734330287086
75,3,375,206,202,0.1188498107634081
76,1,176,186,183,0.10731099418443645
77,7,777,190,187,0.10961875750023077
78,8,878,195,195,0.11250346164497368
79,7,779,195,192,0.11250346164497368
80,3,380,184,184,0.10615711252653928
81,1,181,187,185,0.10788793501338503
82,8,882,196,191,0.11308040247392227
83,4,483,195,192,0.11250346164497368
84,4,484,196,194,0.11308040247392227
85,8,885,192,188,0.11077263915812795
86,1,186,193,191,0.11134957998707652
87,8,887,193,191,0.11134957998707652
88,2,288,203,200,0.11711898827656235
89,4,489,188,182,0.10846487584233361
90,1,190,182,182,0.1050032308686421
91,6,691,187,184,0.10788793501338503
92,4,492,205,202,0.11827286993445953
93,9,993,186,184,0.10731099418443645
94,1,194,198,197,0.11423428413181944
95,2,295,196,196,0.11308040247392227
96,3,396,187,187,0.10788793501338503
97,6,697,191,188,0.11019569832917936
98,7,798,195,194,0.11250346164497368
99,5,599,186,184,0.10731099418443645
