ranker,selection_top1_rate,selection_top3_rate,selection_top5_rate,posterior_top1,posterior_top3,posterior_top5,top3_year_std,top3_positive_year_fraction,objective
w1y_s300,0.24290657439446367,0.24129181084198384,0.24013840830449826,0.2407596260339045,0.2406105502629609,0.2398367520550634,0.015921790643716224,0.75,0.23298602054331716
multi_1_3_5_10_full_s300,0.22214532871972317,0.23437139561707035,0.23432525951557093,0.22848968738359773,0.2349873075263161,0.23473036907633998,0.006130031667421589,0.5,0.23055853305156762
hybrid_s300,0.22560553633217992,0.23529411764705882,0.2336332179930796,0.23053467715864887,0.2357370732245354,0.23412246634077769,0.009806364245403551,0.5,0.22938976016771692
decay_mix_s300,0.22975778546712802,0.23275663206459055,0.23695501730103807,0.2329886648887102,0.23367521755443232,0.2370403994714768,0.012537623481637063,0.5,0.2281103907597305
w10y_s300,0.2505190311418685,0.24129181084198384,0.23944636678200693,0.24525860353901696,0.2406105502629609,0.23922884931950109,0.01608855528527628,0.25,0.22765045803966905
w3y_s300,0.22560553633217992,0.23114186851211072,0.23653979238754325,0.23053467715864887,0.23236312758254854,0.23667565783013939,0.012054267715464273,0.5,0.2270484362019342
decay3y_s300,0.2290657439446367,0.2309111880046136,0.23294117647058823,0.2325796669337,0.23217568615799372,0.2335145636052154,0.012071321087583374,0.5,0.22655554113114873
consensus_1_3_5,0.23529411764705882,0.2320645905420992,0.23141868512110728,0.236260648528792,0.23311289328076784,0.23217717758697828,0.0060726423233643904,0.0,0.2244721942452431
consensus_decay,0.23529411764705882,0.23183391003460208,0.23681660899653978,0.236260648528792,0.23292545185621302,0.2369188189243643,0.009730404604351501,0.25,0.2242256306555909
stable_hot_1_3_5,0.23391003460207613,0.2306805074971165,0.2289273356401384,0.23544265261877156,0.23198824473343888,0.22998872773895399,0.004486364557605315,0.0,0.22393606478308153
multi_3_5_full_s300,0.22491349480968859,0.23137254901960785,0.2350173010380623,0.23012567920363863,0.23255056900710336,0.2353382718119023,0.0071720946282762,0.25,0.22367646943347205
consensus_all,0.22837370242214533,0.22814302191464822,0.23224913494809687,0.23217066897868976,0.2299263890633358,0.23290666086965306,0.008309871813909998,0.25,0.2214653770910309
consensus_3_5_10,0.22629757785467128,0.2306805074971165,0.22823529411764706,0.2309436751136591,0.23198824473343888,0.22938082500339166,0.010677614844334167,0.25,0.22028866845480405
decay5y_s300,0.21868512110726643,0.2306805074971165,0.23377162629757786,0.2264446976085466,0.23198824473343888,0.23424404688789013,0.013672536666013186,0.25,0.21910721751406664
full_s300,0.23252595155709344,0.22560553633217992,0.2271280276816609,0.2346246567087511,0.2278645333932327,0.22840818062649196,0.010398542842120207,0.25,0.21865319844359107
decay1y_s300,0.22975778546712802,0.22583621683967706,0.23141868512110728,0.2329886648887102,0.22805197481778752,0.23217717758697828,0.013413402549446122,0.25,0.2178639122495467
w5y_s300,0.22214532871972317,0.2251441753171857,0.22366782006920416,0.22848968738359773,0.22748965054412304,0.2253686669486804,0.012704534838224113,0.25,0.2153071445940453
