number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
00,7545,2041,1806,0.2393638170974155,0.23765728565289646,0.34825168279719987,0.7276511768069174,0.9854326545942192,0.26666666666666666,0.24444444444444444,0.20821917808219179,0.2219178082191781,15
01,7545,2060,1827,0.24214711729622265,0.23765728565289646,0.9162394459746604,0.3595413204584168,0.9744730803222317,0.1,0.2,0.2465753424657534,0.2264840182648402,0
02,7545,2054,1816,0.24068919814446654,0.23765728565289646,0.618722046215042,0.5360994838935425,0.9854326545942192,0.2,0.2111111111111111,0.2273972602739726,0.2328767123287671,5
03,7545,2021,1795,0.2379058979456594,0.23765728565289646,0.05073428303758148,0.9595372579020911,0.9892136679403001,0.26666666666666666,0.23333333333333334,0.23013698630136986,0.24292237442922374,1
04,7545,2024,1812,0.24015904572564611,0.23765728565289646,0.5105339008479028,0.6096774704700761,0.9854326545942192,0.26666666666666666,0.24444444444444444,0.20821917808219179,0.21278538812785389,1
05,7545,2019,1791,0.23737574552683896,0.23765728565289646,-0.05745386232955763,0.9541836578884292,0.9892136679403001,0.13333333333333333,0.25555555555555554,0.24383561643835616,0.228310502283105,3
06,7545,1987,1764,0.2337972166998012,0.23765728565289646,-0.7877238435577212,0.43085825560522056,0.9854326545942192,0.2,0.28888888888888886,0.21095890410958903,0.2356164383561644,2
07,7545,2011,1770,0.2345924453280318,0.23765728565289646,-0.6254416255070182,0.5316812495963059,0.9854326545942192,0.23333333333333334,0.2111111111111111,0.21643835616438356,0.22922374429223744,6
08,7545,2029,1788,0.23697813121272365,0.23765728565289646,-0.13859497135490914,0.8897702172367092,0.9892136679403001,0.23333333333333334,0.2,0.22465753424657534,0.2264840182648402,3
09,7545,2051,1811,0.24002650762094102,0.23765728565289646,0.48348686450612094,0.6287500842535643,0.9854326545942192,0.23333333333333334,0.2222222222222222,0.27123287671232876,0.25296803652968036,9
10,7545,2108,1835,0.24320742213386348,0.23765728565289646,1.132615736708933,0.2573756571925817,0.9532431747873397,0.23333333333333334,0.25555555555555554,0.2356164383561644,0.2547945205479452,3
11,7545,2046,1804,0.2390987408880053,0.23765728565289646,0.294157610113636,0.7686374705834911,0.9854326545942192,0.3,0.2777777777777778,0.2328767123287671,0.2420091324200913,1
12,7545,2058,1831,0.24267726971504308,0.23765728565289646,1.0244275913417995,0.30563335530217045,0.9551042353192827,0.2,0.2222222222222222,0.25205479452054796,0.2365296803652968,0
13,7545,2015,1790,0.23724320742213387,0.23765728565289646,-0.08450089867133959,0.9326581883620471,0.9892136679403001,0.23333333333333334,0.3111111111111111,0.2821917808219178,0.26301369863013696,1
14,7545,2057,1794,0.23777335984095427,0.23765728565289646,0.02368724669579387,0.9811020788154386,0.9910122008236755,0.23333333333333334,0.17777777777777778,0.28493150684931506,0.25296803652968036,2
15,7545,2020,1779,0.23578528827037773,0.23765728565289646,-0.38201829843096363,0.702447791960936,0.9854326545942192,0.13333333333333333,0.2111111111111111,0.20273972602739726,0.2219178082191781,4
16,7545,2058,1796,0.23803843605036448,0.23765728565289646,0.07778131937936343,0.9380020063996589,0.9892136679403001,0.23333333333333334,0.14444444444444443,0.2410958904109589,0.24748858447488584,0
17,7545,2027,1763,0.2336646785950961,0.23765728565289646,-0.8147708798995031,0.41520347242753286,0.9854326545942192,0.43333333333333335,0.3,0.25753424657534246,0.2374429223744292,0
18,7545,2016,1797,0.23817097415506958,0.23765728565289646,0.10482835572114536,0.9165120093946625,0.9892136679403001,0.3,0.25555555555555554,0.2191780821917808,0.22922374429223744,3
19,7545,2077,1815,0.24055666003976142,0.23765728565289646,0.5916750098732544,0.55406823390257,0.9854326545942192,0.23333333333333334,0.2777777777777778,0.2191780821917808,0.24383561643835616,5
20,7545,2051,1801,0.23870112657389,0.23765728565289646,0.2130165010882845,0.8313140920427915,0.9892136679403001,0.3333333333333333,0.23333333333333334,0.21095890410958903,0.2328767123287671,0
21,7545,2045,1785,0.23658051689860835,0.23765728565289646,-0.21973608038026063,0.8260767032523523,0.9892136679403001,0.3333333333333333,0.24444444444444444,0.2410958904109589,0.245662100456621,1
22,7545,2092,1850,0.24519549370444002,0.23765728565289646,1.5383212818356904,0.12397007868978638,0.9309323458464773,0.3333333333333333,0.2,0.2273972602739726,0.2465753424657534,4
